id;respuesta;observaciones;viable;puntaje;si_no;elemento;pregunta_tipo_pregunta_id;pregunta_tipo_pregunta_tipo_pregunta;encabezado;dato;respuesta_texto;respuesta_numero;fase_id;authority;puntaje_maximo
1;NO_APLICA;withdrawal;false;76069;false;invoice Refined;86146;AGP Accounts JSON;Generic Granite Cheese collaboration;Metrics;Granite Martinique Open-architected;9348;64328;holistic;19022
2;CUMPLE;SMS generating Manager;true;2238;true;orchid Soft;83575;parsing;open architecture;seize moratorium;attitude Alabama;2071;79735;Sri Lanka Rupee;60225
3;NO_APLICA;salmon Pike;true;68166;true;Handcrafted Steel;73386;Intuitive open-source systems;Regional Ergonomic Rubber Hat;SSL Clothing;capacitor Borders;63217;68276;multi-tasking compress;83468
4;NO;Cambridgeshire Frozen Ohio;false;605;false;Incredible Incredible Soft Tuna;15447;Phased Handcrafted;Checking Account;azure bandwidth;Handmade Plastic Norfolk Island;90637;26838;markets;89934
5;CUMPLE;Road;true;11063;false;Ergonomic Rubber Soap;22971;drive AGP Kuwait;Fish killer;Jewelery;Australian Dollar;28842;24219;teal Bedfordshire website;30422
6;NO_APLICA;Alabama Montana;false;17586;false;Rand responsive;37854;payment AGP Unbranded;Bulgarian Lev Analyst;Way cross-platform;Venezuela Quetzal;30018;71725;Computers navigating;1765
7;NO_CUMPLE;Avon Gloves Avon;true;81276;true;Norway tertiary Vermont;5637;Handmade Home Loan Account middleware;Web capacity magenta;Home Loan Account Granite;e-services interface Licensed;59207;72643;maroon Innovative innovate;54895
8;CUMPLE;virtual Branding scalable;false;52669;false;Grocery relationships Chicken;46132;Frozen Health transmit;Health ROI Cheese;wireless;Metal;36047;82553;calculate Borders e-business;81989
9;SI;Incredible Concrete Chips;false;85884;true;expedite capacitor;90452;Optimized Streets;Unbranded Strategist;compressing 24/365 system;compressing transition;73700;24607;info-mediaries bus;37703
10;NO;Developer Paradigm;false;86225;true;Technician;39933;Prairie responsive;Music;transmit static Officer;ubiquitous;2061;73616;bypass Intelligent Steel Cheese withdrawal;96809
