id;formato;version;codigo;fecha
1;regional Balanced;Legacy neural maroon;Games Fantastic;2020-10-07
2;Guinea Franc;Money Market Account Light;Research Pre-emptive;2020-10-07
3;Triple-buffered;back up;Mandatory Congo;2020-10-07
4;ivory networks;compressing Chicken;Adaptive synthesizing;2020-10-07
5;asynchronous;Hat XSS bypass;real-time Principal B2C;2020-10-08
6;Avon;deposit radical;SMS Arizona;2020-10-08
7;Assurance exploit;efficient parsing Bacon;CSS;2020-10-07
8;Money Market Account Refined Cotton Car;Freeway pixel collaborative;Intranet radical Trail;2020-10-07
9;Mexico copy;Auto Loan Account Practical panel;coherent customer loyalty;2020-10-07
10;integrate;foreground Balanced Refined Cotton Fish;Virgin Islands, U.S.;2020-10-07
