id;titulo_profesional;titulo_postgrado;experiencia
1;sky blue Locks Saint Helena;Realigned Monaco;Azerbaijanian Manat Outdoors
2;synergies Knoll backing up;yellow programming;French Southern Territories
3;Fresh;Phased;Books Borders payment
4;Baby Global;alliance;B2B
5;auxiliary;portals Ergonomic Plastic Chair;Jamaica Glen COM
6;Directives Communications Tanzanian Shilling;Proactive program SMS;Strategist Central leverage
7;Cambodia Investor;hacking bus vortals;Vermont Customer Massachusetts
8;Knoll;Table;Bacon white bandwidth
9;generating generating;Soft AGP cross-platform;input
10;invoice SAS;Home Loan Account best-of-breed solutions;bandwidth Ville bypass
