id;encabezado;descripcion;pregunta;puntaje;puntaje_maximo
1;digital;Wooden Generic;red multi-state;20270;48282
2;parsing Tunnel;back-end;Vietnam Profit-focused;63267;86336
3;disintermediate;Technician;Developer Marketing;83814;62038
4;magenta eco-centric;driver Implemented;override;8427;79359
5;Utah Pakistan Rupee;back up Designer;Licensed Puerto Rico bus;42242;56271
6;Soft e-services;internet solution;Fresh;33785;99132
7;parse Connecticut;Kip;revolutionize;76473;82738
8;Face to face Intuitive Strategist;index;holistic Village Investment Account;35459;28921
9;reintermediate high-level;online Berkshire Sausages;contextually-based Oklahoma Principal;16303;63402
10;Barbados Dollar alarm Buckinghamshire;Bedfordshire;Savings Account Gorgeous Metal Computer;748;83240
