id;titulo;url;lugar_ejecucion;duracion;fecha_ini;fecha_fin;contrapartida_pesos;contrapartida_especie;palabras_clave;convocatoria;tipo;referencias;programa;departamento;municipio;viable;enviado;fecha_envio_propuesta;fecha_envio_proyecto;nota;conclusion;recomendaciones;viabilidad;pre_enviado;fecha_pre_envio_propuesta;fecha_viabilidad_propuesta;fecha_sustentacion_proyecto;sustentar;recomendaciones_jurado_proyecto;recomendaciones_asesor_propuesta;recomendaciones_asesor_proyecto;recomendaciones_jurado_sustentacion;proyecto_enviado
1;Infrastructure Credit Card Account application;https://tiana.com;bricks-and-clicks encompassing;Architect Technician overriding;2020-10-07;2020-10-07;9919;77625;XSS index Bacon;Fantastic Frozen Bike;bus yellow;Guyana;digital Salad;protocol AGP Guinea;one-to-one;false;true;2020-10-07T10:01:42;2020-10-07T08:50:49;48214;Credit Card Account Investment Account;Small Soft Keyboard;NO_VIABLE;true;2020-10-07T19:53:56;2020-10-07T14:23:34;2020-10-07T09:29:16;true;Configurable data-warehouse;Integrated;Producer Plastic;Configuration;false
2;Auto Loan Account Nebraska Mouse;http://jack.org;Infrastructure;Arizona;2020-10-07;2020-10-07;70035;43951;Nebraska;Fresh reboot;Table;Engineer Home Loan Account;deposit;Car;generating;false;true;2020-10-07T07:02:07;2020-10-07T19:09:08;45531;Designer;red Bypass ivory;VIABLE;false;2020-10-07T19:58:08;2020-10-07T19:24:31;2020-10-08T02:34:14;false;Functionality Engineer;Seychelles Rupee overriding Interactions;interface Specialist withdrawal;system Virgin Islands, British Global;false
3;next generation bluetooth;http://kacie.biz;Seychelles Rupee;Flat world-class Louisiana;2020-10-07;2020-10-08;85148;80573;reboot;Granite Automotive Orchestrator;real-time;Personal Loan Account;extend Usability dedicated;application;Money Market Account;true;false;2020-10-08T02:16:20;2020-10-07T17:09:12;5119;Solutions multi-byte;ivory Customer Health;VIABLE;false;2020-10-07T19:40:47;2020-10-07T15:07:49;2020-10-07T11:53:47;false;back up;Credit Card Account;Buckinghamshire Right-sized;Hat Gloves recontextualize;false
4;Kids Paradigm 1080p;https://angela.com;Soap;feed Intelligent Steel Fish Human;2020-10-07;2020-10-07;22660;19419;bandwidth Baht;Lodge Fantastic;Rial Omani;Intranet backing up Boliviano Mvdol;Alaska;Kyat Lights;Toys program;true;true;2020-10-08T00:05:12;2020-10-07T03:59:26;59734;Orchestrator;Human deposit SMTP;VIABLE;true;2020-10-07T09:30:25;2020-10-07T21:10:46;2020-10-07T05:45:32;false;Toys Chief leverage;multi-byte;Sleek Granite Towels Gold;Louisiana real-time Enhanced;true
5;Operations Global;http://kaleb.biz;Grove;Planner RAM;2020-10-07;2020-10-07;59619;77608;sensor;Investment Account Belarus;front-end Tunisian Dinar withdrawal;Cotton rich;Tasty Granite Fish synthesize Borders;best-of-breed Concrete;web services parse transmit;true;true;2020-10-07T22:47:50;2020-10-07T04:26:39;45032;Savings Account;4th generation;PENDIENTE;false;2020-10-07T21:52:39;2020-10-07T19:46:01;2020-10-07T09:12:43;true;Granite policy Jewelery;Rustic Concrete Ball Mountains;parsing;Administrator;true
6;convergence Kyat Avon;https://tanner.com;4th generation Money Market Account;target;2020-10-07;2020-10-07;95077;91359;Towels Lodge encompassing;payment strategy;Chicken Coordinator;Accounts model;District robust;pixel Mobility;Cook Islands;true;true;2020-10-07T11:39:09;2020-10-07T22:48:32;31902;Ramp;FTP Agent Planner;VIABLE;true;2020-10-07T17:10:30;2020-10-07T15:53:28;2020-10-07T17:11:51;false;Tonga capacitor;Checking Account;Facilitator Handcrafted Fresh Sausages;index;true
7;Rustic;https://arlie.biz;Handcrafted Money Market Account yellow;maximize next generation;2020-10-08;2020-10-07;70351;31608;Auto Loan Account;Jewelery transition harness;niches scalable systems;Checking Account mint green European Unit of Account 17(E.U.A.-17);Practical protocol;Specialist orchestrate Object-based;policy Rufiyaa needs-based;false;true;2020-10-08T00:30:22;2020-10-07T14:00:51;51452;Boliviano Mvdol;reciprocal User-friendly;PENDIENTE;true;2020-10-07T19:43:04;2020-10-07T17:18:27;2020-10-07T10:03:39;true;process improvement;Wooden markets withdrawal;capacitor;asynchronous;false
8;Incredible Fresh Tuna firewall local area network;https://kyle.info;withdrawal Directives;Cambodia South Dakota compress;2020-10-07;2020-10-07;39276;5316;backing up HTTP mobile;empowering;optical New York;Division;hub Handcrafted Wooden Mouse orchid;Configuration;intermediate Rubber visualize;true;true;2020-10-07T21:37:46;2020-10-07T09:15:07;23695;Realigned Pizza;web-readiness Programmable;PENDIENTE;false;2020-10-07T13:40:16;2020-10-07T14:56:13;2020-10-08T01:23:07;false;mint green Berkshire;transmit invoice;Borders Refined;Investment Account;true
9;Ramp Fantastic Metal Sausages;https://dexter.info;magnetic Fresh;Directives experiences New York;2020-10-08;2020-10-07;13363;86515;multi-state payment;Bolivia cross-platform Configuration;secondary;channels e-business pixel;Savings Account;Money Market Account Iran scalable;Borders;false;false;2020-10-07T16:27:16;2020-10-07T21:28:30;50346;Jewelery Home Fresh;Wooden Avon synthesize;VIABLE;true;2020-10-07T17:32:56;2020-10-07T21:35:42;2020-10-07T23:00:57;false;programming tan Bedfordshire;toolset;Licensed Wooden Computer;mobile Cayman Islands;false
10;tan relationships process improvement;http://giovani.net;mesh paradigms Industrial;New Leu Checking Account intranet;2020-10-08;2020-10-07;60732;45544;plum New Mexico Investment Account;Chair deliverables Kwanza;relationships;strategize;Iowa program;Granite;Intelligent Home Loan Account Common;false;false;2020-10-07T06:27:40;2020-10-07T15:07:30;91760;Ergonomic transmit;Intelligent Bacon;PENDIENTE;false;2020-10-07T15:44:16;2020-10-08T00:14:02;2020-10-07T04:13:05;true;deposit payment Dam;synthesizing European Monetary Unit (E.M.U.-6);Money Market Account;neural interface Green;false
