id;programa;descripcion;codigo_interno;codigo_snies;creditos;ciclo;resolucion;titulo;duracion_semestres
1;model;Marshall Islands Kwanza;Oklahoma pricing structure turquoise;Turkish Lira;1694;generate Human Fantastic;benchmark Maryland;Customer Baby bypassing;82842
2;olive;Ball payment Avon;Island;Station index;69117;ability granular Plastic;feed leverage;Berkshire Missouri Alaska;50228
3;feed Wisconsin;Moroccan Dirham Corners;Horizontal;New York Analyst;71341;metrics Georgia Plastic;compressing Analyst;JSON;53071
4;Money Market Account;Refined Rubber Cheese alarm Berkshire;Utah Producer;clear-thinking Credit Card Account feed;26658;Suriname deposit Future-proofed;Corners Health;Orchestrator;51543
5;Fish;object-oriented deliver;Licensed Plastic Towels Associate;interface;43044;Licensed Computer;portal Sports;Associate deposit overriding;33029
6;Generic Steel Soap;Berkshire reinvent turn-key;microchip pink Holy See (Vatican City State);Baby productize Kazakhstan;19254;back-end;Intelligent;Riel pricing structure;73824
7;Chair;Graphic Interface Product facilitate;Bedfordshire;engineer Mount;74196;matrix Stravenue compressing;Savings Account;program Cotton;9607
8;Practical navigating deliverables;Borders;connect;PNG;34266;turquoise;neural;1080p firewall synthesizing;40808
9;cyan wireless;Granite responsive Creek;Metal Fantastic Concrete Hat Salad;Identity Soft Dominica;30911;deposit;Rubber Avon Georgia;deposit migration;70745
10;Versatile incentivize HDD;Handmade Plastic Cheese synthesizing navigate;system;Fully-configurable Sausages parsing;52747;Future USB Soft;input;Tasty Soft Soap Ranch;76143
